"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016324","apical plasma membrane","4/58","39/2522",0.0113759162966742,0.645854008296153,0.644757481966278,"ClC-a/dally/sosie/Sln",4
"GO:0016323","basolateral plasma membrane","3/58","26/2522",0.0206226831780027,0.645854008296153,0.644757481966278,"ClC-a/dally/Sln",3
"GO:0030425","dendrite","4/58","48/2522",0.0230972358182285,0.645854008296153,0.644757481966278,"CaMKII/Lrrk/nAChRalpha7/hdc",4
"GO:0097447","dendritic tree","4/58","48/2522",0.0230972358182285,0.645854008296153,0.644757481966278,"CaMKII/Lrrk/nAChRalpha7/hdc",4
"GO:0036477","somatodendritic compartment","5/58","77/2522",0.0302041768189281,0.645854008296153,0.644757481966278,"CaMKII/Lrrk/nAChRalpha7/hdc/Rab3-GEF",5
"GO:0008328","ionotropic glutamate receptor complex","2/58","13/2522",0.0344630527195968,0.645854008296153,0.644757481966278,"Nmdar2/GluRIB",2
"GO:0098802","plasma membrane receptor complex","3/58","34/2522",0.0417183998728143,0.645854008296153,0.644757481966278,"Nmdar2/nAChRalpha7/GluRIB",3
"GO:0098878","neurotransmitter receptor complex","2/58","15/2522",0.0450534886525677,0.645854008296153,0.644757481966278,"Nmdar2/GluRIB",2
"GO:0005795","Golgi stack","3/58","37/2522",0.051624745101042,0.645854008296153,0.644757481966278,"Lrrk/lva/Pgant6",3
"GO:0043195","terminal bouton","3/58","38/2522",0.0551596216154809,0.645854008296153,0.644757481966278,"Lrrk/Eaat1/Rab3-GEF",3
"GO:0098793","presynapse","5/58","95/2522",0.0648803766126323,0.645854008296153,0.644757481966278,"CaMKII/Lrrk/Eaat1/Dop1R2/Rab3-GEF",5
"GO:0031594","neuromuscular junction","3/58","42/2522",0.0704190103673617,0.645854008296153,0.644757481966278,"Lrrk/Eaat1/Rab3-GEF",3
"GO:0044456","synapse part","6/58","129/2522",0.0729916672678999,0.645854008296153,0.644757481966278,"CaMKII/Lrrk/Eaat1/nAChRalpha7/Dop1R2/Rab3-GEF",6
"GO:0043679","axon terminus","3/58","43/2522",0.0745044909331899,0.645854008296153,0.644757481966278,"Lrrk/Eaat1/Rab3-GEF",3
"GO:0044306","neuron projection terminus","3/58","44/2522",0.0786941997097167,0.645854008296153,0.644757481966278,"Lrrk/Eaat1/Rab3-GEF",3
"GO:0030424","axon","5/58","107/2522",0.0968673147537696,0.645854008296153,0.644757481966278,"CaMKII/Lrrk/Eaat1/hdc/Rab3-GEF",5
"GO:0045177","apical part of cell","4/58","80/2522",0.109783049667629,0.645854008296153,0.644757481966278,"ClC-a/dally/sosie/Sln",4
"GO:0043235","receptor complex","3/58","51/2522",0.110753898783284,0.645854008296153,0.644757481966278,"Nmdar2/nAChRalpha7/GluRIB",3
"GO:0044463","cell projection part","6/58","146/2522",0.115577648270691,0.645854008296153,0.644757481966278,"CaMKII/Lrrk/Eaat1/nAChRalpha7/hdc/Rab3-GEF",6
"GO:0120038","plasma membrane bounded cell projection part","6/58","146/2522",0.115577648270691,0.645854008296153,0.644757481966278,"CaMKII/Lrrk/Eaat1/nAChRalpha7/hdc/Rab3-GEF",6
"GO:0031226","intrinsic component of plasma membrane","10/58","289/2522",0.119741219832657,0.645854008296153,0.644757481966278,"Nmdar2/ClC-a/nAChRalpha7/Dop1R2/dally/DIP-epsilon/Ac13E/GluRIB/Nckx30C/Sln",10
"GO:0150034","distal axon","3/58","55/2522",0.131011699474025,0.645854008296153,0.644757481966278,"Lrrk/Eaat1/Rab3-GEF",3
"GO:0033267","axon part","3/58","56/2522",0.136271684356332,0.645854008296153,0.644757481966278,"Lrrk/Eaat1/Rab3-GEF",3
"GO:0043005","neuron projection","7/58","190/2522",0.142196568486634,0.645854008296153,0.644757481966278,"CaMKII/Trh/Lrrk/Eaat1/nAChRalpha7/hdc/Rab3-GEF",7
"GO:0098590","plasma membrane region","6/58","156/2522",0.145519526761668,0.645854008296153,0.644757481966278,"CaMKII/ClC-a/nAChRalpha7/dally/sosie/Sln",6
"GO:0098791","Golgi subcompartment","4/58","91/2522",0.154709321819909,0.645854008296153,0.644757481966278,"CG31729/Lrrk/lva/Pgant6",4
"GO:0034702","ion channel complex","3/58","62/2522",0.169278767911395,0.645854008296153,0.644757481966278,"Nmdar2/nAChRalpha7/GluRIB",3
"GO:0098552","side of membrane","2/58","33/2522",0.174869509172729,0.645854008296153,0.644757481966278,"Use1/dally",2
"GO:0045202","synapse","6/58","166/2522",0.178728697097435,0.645854008296153,0.644757481966278,"CaMKII/Lrrk/Eaat1/nAChRalpha7/Dop1R2/Rab3-GEF",6
"GO:0005887","integral component of plasma membrane","9/58","281/2522",0.190562107426491,0.645854008296153,0.644757481966278,"Nmdar2/ClC-a/nAChRalpha7/Dop1R2/DIP-epsilon/Ac13E/GluRIB/Nckx30C/Sln",9
"GO:0045211","postsynaptic membrane","2/58","35/2522",0.191572591242231,0.645854008296153,0.644757481966278,"CaMKII/nAChRalpha7",2
"GO:0012505","endomembrane system","13/58","439/2522",0.196677999217842,0.645854008296153,0.644757481966278,"CG31729/Use1/PIG-Z/Sans/CG8412/Cyp6a8/Lrrk/CG8027/Dop1R2/Rab3-GEF/GABPI/lva/Pgant6",13
"GO:0097458","neuron part","8/58","248/2522",0.205088672071545,0.645854008296153,0.644757481966278,"CaMKII/Trh/Lrrk/Eaat1/nAChRalpha7/Dop1R2/hdc/Rab3-GEF",8
"GO:0005892","acetylcholine-gated channel complex","1/58","10/2522",0.207912167870858,0.645854008296153,0.644757481966278,"nAChRalpha7",1
"GO:0009925","basal plasma membrane","1/58","10/2522",0.207912167870858,0.645854008296153,0.644757481966278,"ClC-a",1
"GO:0014069","postsynaptic density","1/58","10/2522",0.207912167870858,0.645854008296153,0.644757481966278,"nAChRalpha7",1
"GO:0030672","synaptic vesicle membrane","1/58","10/2522",0.207912167870858,0.645854008296153,0.644757481966278,"Dop1R2",1
"GO:0032279","asymmetric synapse","1/58","10/2522",0.207912167870858,0.645854008296153,0.644757481966278,"nAChRalpha7",1
"GO:0098595","perivitelline space","1/58","10/2522",0.207912167870858,0.645854008296153,0.644757481966278,"dally",1
"GO:0098800","inner mitochondrial membrane protein complex","1/58","10/2522",0.207912167870858,0.645854008296153,0.644757481966278,"blp",1
"GO:0098984","neuron to neuron synapse","1/58","10/2522",0.207912167870858,0.645854008296153,0.644757481966278,"nAChRalpha7",1
"GO:0099501","exocytic vesicle membrane","1/58","10/2522",0.207912167870858,0.645854008296153,0.644757481966278,"Dop1R2",1
"GO:1902495","transmembrane transporter complex","3/58","69/2522",0.210385655791986,0.645854008296153,0.644757481966278,"Nmdar2/nAChRalpha7/GluRIB",3
"GO:1990351","transporter complex","3/58","69/2522",0.210385655791986,0.645854008296153,0.644757481966278,"Nmdar2/nAChRalpha7/GluRIB",3
"GO:0031012","extracellular matrix","3/58","70/2522",0.216440138391872,0.645854008296153,0.644757481966278,"Cpr62Bb/dally/Cpr47Ee",3
"GO:0005765","lysosomal membrane","1/58","11/2522",0.226200820045814,0.645854008296153,0.644757481966278,"Lrrk",1
"GO:0098852","lytic vacuole membrane","1/58","11/2522",0.226200820045814,0.645854008296153,0.644757481966278,"Lrrk",1
