"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005887","integral component of plasma membrane","28/94","281/2522",4.11269241803306e-07,4.4149462595726e-05,4.4149462595726e-05,"rk/stan/dpr5/Nlg4/beat-IIa/CG43373/ft/olf186-F/nAChRalpha2/Tsp42El/CG10738/laza/CG31183/Lgr1/CG12290/TrissinR/Dscam3/DIP-beta/sev/Nrx-IV/CG32447/Nlg2/CG5404/dpr8/eag/CG6928/Dscam1/CG34357",28
"GO:0031226","intrinsic component of plasma membrane","28/94","289/2522",7.48295976198745e-07,4.4149462595726e-05,4.4149462595726e-05,"rk/stan/dpr5/Nlg4/beat-IIa/CG43373/ft/olf186-F/nAChRalpha2/Tsp42El/CG10738/laza/CG31183/Lgr1/CG12290/TrissinR/Dscam3/DIP-beta/sev/Nrx-IV/CG32447/Nlg2/CG5404/dpr8/eag/CG6928/Dscam1/CG34357",28
"GO:0044459","plasma membrane part","33/94","442/2522",2.30836539696821e-05,0.000907957056140831,0.000907957056140831,"rk/stan/Mtp/dpr5/Nlg4/beat-IIa/dpr12/CG43373/ft/olf186-F/Scgdelta/nAChRalpha2/Tsp42El/CG10738/laza/CG31183/Lgr1/CG12290/TrissinR/Dscam3/DIP-beta/sev/Nrx-IV/CG32447/Nlg2/CG5404/uif/dpr8/eag/CG6928/Lar/Dscam1/CG34357",33
