"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098687","chromosomal region","1/1","13/2522",0.00515463917525749,0.0194290245836637,0.0116866313285195,"lawc",1
"GO:0044427","chromosomal part","1/1","17/2522",0.00674068199841393,0.0194290245836637,0.0116866313285195,"lawc",1
"GO:0005694","chromosome","1/1","21/2522",0.00832672482157015,0.0194290245836637,0.0116866313285195,"lawc",1
